Model,Activation,Optimizer,Sequence_Length,Gradient_Clipping,Accuracy,F1_Score,Avg_Epoch_Time
RNN,ReLU,Adam,25,False,0.7293,0.7283511822930249,45.44762468338013
RNN,Tanh,Adam,25,False,0.6737,0.6736626376353829,50.388870573043825
RNN,ReLU,Adam,25,True,0.7223,0.7203783252059284,54.04431014060974
RNN,Tanh,Adam,25,True,0.7111,0.7110232217597894,47.78935885429382
RNN,ReLU,Adam,50,False,0.77,0.769065880724897,83.79226131439209
RNN,Tanh,Adam,50,False,0.6203,0.620188939447784,85.02663354873657
RNN,ReLU,Adam,50,True,0.753,0.7471897738079272,86.35463342666625
RNN,Tanh,Adam,50,True,0.7217,0.7204712783937225,85.68817477226257
RNN,ReLU,Adam,100,False,0.7632,0.7619452706547563,160.37420253753663
RNN,Tanh,Adam,100,False,0.6074,0.5978882722629475,164.33439502716064
RNN,ReLU,Adam,100,True,0.8222,0.8221661333184291,164.00744891166687
RNN,Tanh,Adam,100,True,0.7262,0.725985172375142,177.41696891784667
RNN,ReLU,SGD,25,False,0.5073,0.4918990486013359,48.03536443710327
RNN,Tanh,SGD,25,False,0.5102,0.5097409410275405,45.18177781105042
RNN,ReLU,SGD,25,True,0.4997,0.4929118698161755,47.29551200866699
RNN,Tanh,SGD,25,True,0.51,0.5098340494157702,44.88282642364502
RNN,ReLU,SGD,50,False,0.5015,0.4939305728174974,85.84158902168274
RNN,Tanh,SGD,50,False,0.5081,0.5080881891974227,90.07589311599732
RNN,ReLU,SGD,50,True,0.5068,0.5052926067845769,91.6360134601593
RNN,Tanh,SGD,50,True,0.5087,0.5086077705924625,93.49429998397827
RNN,ReLU,SGD,100,False,0.5113,0.5112958899984349,172.90051674842834
RNN,Tanh,SGD,100,False,0.5067,0.506699955602996,173.80960855484008
RNN,ReLU,SGD,100,True,0.5052,0.5016331084182467,179.43242540359498
RNN,Tanh,SGD,100,True,0.5117,0.511557174433376,170.51328320503234
RNN,ReLU,RMSprop,25,False,0.7368,0.7356344227445036,56.3205765247345
RNN,Tanh,RMSprop,25,False,0.6877,0.6861929447552577,46.1075484752655
RNN,ReLU,RMSprop,25,True,0.7323,0.731023110219063,52.28464465141296
RNN,Tanh,RMSprop,25,True,0.7163,0.7161986233102327,47.42351717948914
RNN,ReLU,RMSprop,50,False,0.7758,0.7757902334225679,85.11631464958191
RNN,Tanh,RMSprop,50,False,0.6752,0.6750993587773748,92.03232102394104
RNN,ReLU,RMSprop,50,True,0.7826,0.7819451726312185,88.7105685710907
RNN,Tanh,RMSprop,50,True,0.7131,0.7116091316832409,104.17463808059692
RNN,ReLU,RMSprop,100,False,0.7367,0.7251846630163299,166.8156916618347
RNN,Tanh,RMSprop,100,False,0.6216,0.6193430851518653,165.26980695724487
RNN,ReLU,RMSprop,100,True,0.8097,0.8083117920813712,165.44769282341002
RNN,Tanh,RMSprop,100,True,0.7104,0.7098382468458937,166.4809471130371
LSTM,N/A,Adam,25,False,0.7315,0.7312195840798748,14.606205463409424
LSTM,N/A,Adam,25,True,0.7284,0.7280030912308477,19.726820993423463
LSTM,N/A,Adam,50,False,0.7817,0.7815419215498527,23.67269697189331
LSTM,N/A,Adam,50,True,0.7768,0.7759218916722094,25.205548429489134
LSTM,N/A,Adam,100,False,0.8042,0.8037553567370805,23.41384596824646
LSTM,N/A,Adam,100,True,0.8312,0.8309710942947377,25.26134910583496
LSTM,N/A,SGD,25,False,0.5093,0.5033889328235008,11.83140606880188
LSTM,N/A,SGD,25,True,0.5086,0.5012985115069736,15.674967622756958
LSTM,N/A,SGD,50,False,0.5042,0.49120745317251135,24.312245416641236
LSTM,N/A,SGD,50,True,0.5057,0.5001789719256808,18.536326551437377
LSTM,N/A,SGD,100,False,0.5032,0.4954164762121167,19.578055000305177
LSTM,N/A,SGD,100,True,0.5165,0.504925956019465,23.58006896972656
LSTM,N/A,RMSprop,25,False,0.7385,0.7384161859301339,14.747267580032348
LSTM,N/A,RMSprop,25,True,0.7328,0.7321463406438536,18.186560821533202
LSTM,N/A,RMSprop,50,False,0.7846,0.7842819107342923,19.792235994338988
LSTM,N/A,RMSprop,50,True,0.7881,0.7880880799544974,22.49575242996216
LSTM,N/A,RMSprop,100,False,0.8382,0.8381874692376178,29.79686427116394
LSTM,N/A,RMSprop,100,True,0.8336,0.8333935679664531,29.885276126861573
BiLSTM,N/A,Adam,25,False,0.733,0.732917268453076,31.107089471817016
BiLSTM,N/A,Adam,25,True,0.7345,0.7344223424371521,33.54387321472168
BiLSTM,N/A,Adam,50,False,0.7813,0.7810271401090184,36.66544375419617
BiLSTM,N/A,Adam,50,True,0.78,0.7797145100049665,38.3590190410614
BiLSTM,N/A,Adam,100,False,0.8397,0.8395045148941862,57.20450415611267
BiLSTM,N/A,Adam,100,True,0.8354,0.8353860670767175,60.28423285484314
BiLSTM,N/A,SGD,25,False,0.5082,0.507288977319063,21.691912841796874
BiLSTM,N/A,SGD,25,True,0.5006,0.49858453043515594,22.162276649475096
BiLSTM,N/A,SGD,50,False,0.5083,0.5067917247054043,28.836818790435792
BiLSTM,N/A,SGD,50,True,0.5021,0.5017286433405953,28.771495008468627
BiLSTM,N/A,SGD,100,False,0.5047,0.5013388191902582,43.92131118774414
BiLSTM,N/A,SGD,100,True,0.4955,0.4949925230364741,37.49231581687927
BiLSTM,N/A,RMSprop,25,False,0.7325,0.7319103072308881,23.47687187194824
BiLSTM,N/A,RMSprop,25,True,0.7324,0.7323828725038403,25.928848552703858
BiLSTM,N/A,RMSprop,50,False,0.7803,0.7792336433055768,30.043147468566893
BiLSTM,N/A,RMSprop,50,True,0.7849,0.7845217041490211,33.809284687042236
BiLSTM,N/A,RMSprop,100,False,0.8353,0.8352994054308536,45.05228252410889
BiLSTM,N/A,RMSprop,100,True,0.8418,0.8417475804685544,30.17690920829773
